Username,Comment,Cleaning
@yusufefendi2642,Lah kok anaknya gak ikut bertarung  pilpres .. lemah,lah kok anaknya gak ikut bertarung pilpres lemah
@oryzahamstersumenep3624,Dia udah gak layak emang ğŸ˜‚ waktunya pensiun,dia udah gak layak emang waktunya pensiun
@artisbokep9450,"joe biden adalah salah satu dari 2 president terburuk Amerika hingga saat ini,mungkin karena tidak ingin menjadi yang pertama,dan agak susah turun peringkat 3 lebih baik mundur ya pakğŸ˜‚",joe biden adalah salah satu dari president terburuk amerika hingga saat inimungkin karena tidak ingin menjadi yang pertamadan agak susah turun peringkat lebih baik mundur ya pak
@Davidnur418,Hillary Clinton aja kalah apalagi Kamala Harris,hillary clinton aja kalah apalagi kamala harris
@user-zz5gb9di6g,Habis mundur trs sakit trs modarğŸ˜‚,habis mundur trs sakit trs modar
@muhammadharits3237,Sekarang waktunya Kamala Harris ğŸ™ğŸ™ğŸ™ğŸ‘ğŸ‘ğŸ™‚ğŸ™‚,sekarang waktunya kamala harris
@muhammadharits3237,Sejahat jahatnya Biden msh lebih jahat Trump !!!,sejahat jahatnya biden msh lebih jahat trump
@AhmadKhoerudin-n7s,Kalau mencalonkan pagi juga rakyatnya tidak akan memilihnya,kalau mencalonkan pagi juga rakyatnya tidak akan memilihnya
@nengsarah2838,haha,haha
@gemalacahayapurnamashanty1443,Trump vs Kamala bakal seru.. tapi najong amat gue dukung Kamala,trump vs kamala bakal seru tapi najong amat gue dukung kamala
@gemalacahayapurnamashanty1443,Not in a million i will support Kamala,not in a million i will support kamala
@genx9422,Trump temannya Putin.. AS &amp; Rusia bersahabat,trump temannya putin as rusia bersahabat
@apendifa9047,"Biden mau pun trum,sama saja pengacau dunia.",biden mau pun trumsama saja pengacau dunia
@AL0001,"SIap2 dollar,Bitcoin,alt coin,saham Amerika bakal naik",siap2 dollarbitcoinalt coinsaham amerika bakal naik
@Squadfrent,dua duanya nya tua bangka penjahat perang genosida bagi palestina ğŸ˜¡,dua duanya nya tua bangka penjahat perang genosida bagi palestina
@rikosyafriadi7246,Di konoha manusia gorong2 ga sadar diri muka tembok,di konoha manusia gorong2 ga sadar diri muka tembok
@user-ld1fx2yp4x,Takut mau di tembak kayak trump mungkin..ğŸ˜…ğŸ˜…ğŸ˜…,takut mau di tembak kayak trump mungkin
@aru9138,Bersyukur,bersyukur
@EmperorArcanine89,Salah sendiri terlalu jompo wkwkwk,salah sendiri terlalu jompo wkwkwk
@user-jq7ro6xs2n,Michelle Obama atau Bernie Sanders dua&quot;nya sih tokoh bagus juga tokoh alternatif ada Yang Gang.,michelle obama atau bernie sanders duanya sih tokoh bagus juga tokoh alternatif ada yang gang
@andysignergy,"Lagian robot ko bisa jadi presiden, ğŸ˜‚ğŸ˜‚",lagian robot ko bisa jadi presiden
@panjiprakoso-zk8kp,Lah auto terpilih dong trump,lah auto terpilih dong trump
@mikhaelantonio9410,81 tahun masih nyalon edan sihğŸ˜…,tahun masih nyalon edan sih
@andikchristian5834,"Taktik Demokrat nyuruh Biden mundur karena sudah no hope. <br>Justru Trump deg2an sekarang, mungkinkah pengganti Biden akan mempersulit dia.",taktik demokrat nyuruh biden mundur karena sudah no hope justru trump deg2an sekarang mungkinkah pengganti biden akan mempersulit dia
@YadihindraYadi,ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜…,
@AgusSalim-fk1jd,"Elit politik yg punya moral, tidak haus kekuasaan ğŸ‘",elit politik yg punya moral tidak haus kekuasaan
@aliefr.p.official5203,TRump VS Cewek,trump vs cewek
@kanjiroohimamoto5684,"Padahal gua ngedukung si biden, biar makin ancur amerika klo biden jdi presiden ğŸ˜‚ğŸ˜‚",padahal gua ngedukung si biden biar makin ancur amerika klo biden jdi presiden
@suwandawanda1412,Alhamdulillah gak ada yang abadi di dunia ini semoga cepat bertemu malaikat Izrail ya ğŸ‡®ğŸ‡©ğŸ‡µğŸ‡¸,alhamdulillah gak ada yang abadi di dunia ini semoga cepat bertemu malaikat izrail ya
@mahesaadam4247,"Jadi gini teori konspirasi nya.<br>Biden membayar seorang penembak jitu (sniper) untuk menghabisi Donald Trump, agar lebih mudah untuk memenangkan pilpres mendatang.<br>Tapi sayangnya gagal, sang penembak jitu harus tewas seketika ketika di tembak balik oleh secret service Amerika.<br>Dan itu membuat Biden putus asa dan malu jika harus terus bersaing dengan Trump yg jelas lebih unggul dan kuat.<br>Itulah alasannya kenapa Biden mundur dari pilpres <br><br><br>Fyi ini cmn teori konspirasi aja yak",jadi gini teori konspirasi nya biden membayar seorang penembak jitu sniper untuk menghabisi donald trump agar lebih mudah untuk memenangkan pilpres mendatang tapi sayangnya gagal sang penembak jitu harus tewas seketika ketika di tembak balik oleh secret service amerika dan itu membuat biden putus asa dan malu jika harus terus bersaing dengan trump yg jelas lebih unggul dan kuat itulah alasannya kenapa biden mundur dari pilpres fyi ini cmn teori konspirasi aja yak
@matteobruni-wb9bi,"Mending punya etika, gak kaya konoha",mending punya etika gak kaya konoha
@tiongabang9501,Gara - gara sniper nihğŸ˜ŠğŸ˜ŠğŸ˜Š,gara gara sniper nih
@RiaJumika,"Udh akiÂ² lebih baik banyak beramal sholeh dan berbuat baik,ga ush sibuk dgn dunia,krn sebentar lagi dunia yg akan meninggalkan mu,dan apa telah di lakukan semasa hdp akan di mintai pertanggung jwaban,di saat itulah diri akn menyesal",udh aki lebih baik banyak beramal sholeh dan berbuat baikga ush sibuk dgn duniakrn sebentar lagi dunia yg akan meninggalkan mudan apa telah di lakukan semasa hdp akan di mintai pertanggung jwabandi saat itulah diri akn menyesal
@user-yp2ck5zy8g,"Negara maju ya begitu ğŸ‘,klau sdh tidak becus dlm segala langsung mundur sja, apalagi diduga terlibat penembakan capres trump.<br>Tp klau di negeri ini oknum menteri yg nggak becus malah dianggap hebat,omonÂ²,nggak berilmu,tdk berprestasi dll,malah semakin ngawur dinstitusinya",negara maju ya begitu klau sdh tidak becus dlm segala langsung mundur sja apalagi diduga terlibat penembakan capres trump tp klau di negeri ini oknum menteri yg nggak becus malah dianggap hebatomonnggak berilmutdk berprestasi dllmalah semakin ngawur dinstitusinya
@seftylianihrp4590,Nggak kuat jantungnya dengar gertakan Putin makanya g mau diperpanjang lagi itu artinya perang rusia Ukraina akan selesai dan Ukraina menyerah,nggak kuat jantungnya dengar gertakan putin makanya g mau diperpanjang lagi itu artinya perang rusia ukraina akan selesai dan ukraina menyerah
@fatimzahro8776,"Wantunya sitirahat, biar dunia aman",wantunya sitirahat biar dunia aman
@user-re1rs6nq9m,Klu soal keamanan dunia Trump gak suka perang lebih suka perang ekonomi lawannya pun sejajar Tiongkok TPI klu soal Palestina Trump lebih ganas dari pada biden,klu soal keamanan dunia trump gak suka perang lebih suka perang ekonomi lawannya pun sejajar tiongkok tpi klu soal palestina trump lebih ganas dari pada biden
@dedydarmawan1762,ga perduli,ga perduli
@Lee.Hsien-Yung,Joe Biden memang pantas untuk mundur daripada ikut nyapres lagi,joe biden memang pantas untuk mundur daripada ikut nyapres lagi
@jatipelem6895,"Bagus,jika kondisi tubuh tidak mampu mediangan mundur merusak tata negaranya menimbulkan kekacauan dan permasalah.NKRI milik rakyat Indonesia berideologi Pancasila maka merusakan keutuhan NKRI dan tidak merubah bisa merubah sistem negara dan pemerintahan di NKRI.NKRI bukan milik pejabat berkuasa dan PNS yang bertindak semaunya untuk pribadi dan golongan.NKRI hasil perjuangan kemerdekaan dari rakyat Indonesia berideologi Pancasila dan tidak sistem dinasti atau kerajaan oleh oknum penjabat berkuasa.pilpres dan pilkada sebagai sarana demokrasi pancasila.menjadi presiden dan kepala dipilih oleh rakyat berarti ada ditangan rakyat membuktikan negara milik rakyat.Menjadi presiden dan kepala daerah harus kepentingan rakyat bukan kepentingan pejabat dan PNS yang tujuan untuk menjalankan amanat rakyat dan melayani rakyat.",bagusjika kondisi tubuh tidak mampu mediangan mundur merusak tata negaranya menimbulkan kekacauan dan permasalah nkri milik rakyat indonesia berideologi pancasila maka merusakan keutuhan nkri dan tidak merubah bisa merubah sistem negara dan pemerintahan di nkri nkri bukan milik pejabat berkuasa dan pns yang bertindak semaunya untuk pribadi dan golongan nkri hasil perjuangan kemerdekaan dari rakyat indonesia berideologi pancasila dan tidak sistem dinasti atau kerajaan oleh oknum penjabat berkuasa pilpres dan pilkada sebagai sarana demokrasi pancasila menjadi presiden dan kepala dipilih oleh rakyat berarti ada ditangan rakyat membuktikan negara milik rakyat menjadi presiden dan kepala daerah harus kepentingan rakyat bukan kepentingan pejabat dan pns yang tujuan untuk menjalankan amanat rakyat dan melayani rakyat
@ddyy152,"Di Amerika presiden nya punya etika, tdk seperti di negeri Konoha,udah melanggar konstitusi malah ngajak anak mantu jadi penguasa",di amerika presiden nya punya etika tdk seperti di negeri konohaudah melanggar konstitusi malah ngajak anak mantu jadi penguasa
@johaneslerius9074,Klo di negeri wakanda boss beda malahan bangun dynasti contohnya si wowoğŸ˜‚ğŸ˜‚ğŸ˜‚,klo di negeri wakanda boss beda malahan bangun dynasti contohnya si wowo
@user-tc6mi6su7c,Kalau Biden mundur.ancaman ke trump di anggap setting.,kalau biden mundur ancaman ke trump di anggap setting
@BenyWidodo-ru2yp,Ketuaan biden,ketuaan biden
@yoesoef4902,Mundur sebelum berperang,mundur sebelum berperang
@TheNosferratu,Krn Biden tau klo tetep maju pasti kalah ama Trump makanya mundur,krn biden tau klo tetep maju pasti kalah ama trump makanya mundur
@cecepgorbachev3018,Capresnya perempuan lebih bahaya lagi kalau menang pilpres si kemala keturunan india selir yahudi inggris,capresnya perempuan lebih bahaya lagi kalau menang pilpres si kemala keturunan india selir yahudi inggris
@mustaamfadil3171,"Tua Bangka..., calon mayat.",tua bangka calon mayat
@erwinkumadjawa9497,Joe Biden adalah LEGENDA SELAMANYA: Dia Berprestasi sebagai Wakil Presiden Barrack Obama selama dua periode dan PRESIDEN TERTUA di DUNIA saat TERPILIH PADA 2020â˜€ï¸ Biden is The Sun Shines The World..,joe biden adalah legenda selamanya dia berprestasi sebagai wakil presiden barrack obama selama dua periode dan presiden tertua di dunia saat terpilih pada biden is the sun shines the world
@raden1776,Setuju mudur..krn cara caranya Berbau Fitnah..demi menjaga nama Biden..Harga Diri segalanya..jgn seprti di Negara kita..Fitnah fitnah eeh..jadi president..Kisah Ratna Sarumpet..,setuju mudur krn cara caranya berbau fitnah demi menjaga nama biden harga diri segalanya jgn seprti di negara kita fitnah fitnah eeh jadi president kisah ratna sarumpet
@imaloner7523,"Dah ketuaan,disini malah kemudaan ğŸ˜‚ Tunggu 5/10 tahun lagi biar bener2 mateng..",dah ketuaandisini malah kemudaan tunggu tahun lagi biar bener2 mateng
@infonesia5339,Jangan sampe kaya amien rais..,jangan sampe kaya amien rais
@falwaechanel,Old man... Wong tuo...,old man wong tuo
@yantopurnama3164,Kapan Yach Mamarika punya Presiden dari Suku Indian.ğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜Š,kapan yach mamarika punya presiden dari suku indian
@Yoesoef79,"Gmn gak mundur, d ancem sama pendukung ny, sampe pd demo, penyokong dana jg ngancem",gmn gak mundur d ancem sama pendukung ny sampe pd demo penyokong dana jg ngancem
@fg7531,BTC TO THE MOON ğŸ‰ğŸ‰,btc to the moon
@user-yo4bp6so2g,Contoh manusia serakah &amp; rakus kekuasaan.,contoh manusia serakah rakus kekuasaan
@fitriyanaa,"Ternyata kemaluan orang Ameriki lebih besar dari orang Indonesia. Cawapres bermasalah aja, tanpa ada kemaluan, tetap maju dengan cawe-cawe bapaknya. Shame on you",ternyata kemaluan orang ameriki lebih besar dari orang indonesia cawapres bermasalah aja tanpa ada kemaluan tetap maju dengan cawecawe bapaknya shame on you
@omw2myw661,"Kamala Harris terlalu boneka, gak layak, gak akan bisa kalahin Trump",kamala harris terlalu boneka gak layak gak akan bisa kalahin trump
@tenyharyati9355,"sekelas amerika tapi soal president election aja bapuk kek gini, kaga ada tokoh laen yang bisa diajuin buat jadi candidate wkwk",sekelas amerika tapi soal president election aja bapuk kek gini kaga ada tokoh laen yang bisa diajuin buat jadi candidate wkwk
@mochamadfahmi4581,Ybs. Sudah terlalu tua,ybs sudah terlalu tua
@user-yx6hf3gz2t,Udh tua bau tanah bikin kacau dunia dan bikin perang ajh lu biden,udh tua bau tanah bikin kacau dunia dan bikin perang ajh lu biden
@user-gy6yu8uj8d,Saatnya kirim pak jokowi kesana,saatnya kirim pak jokowi kesana
@johnnypitstop1095,"Puji Tuhan, mereda semua perang....",puji tuhan mereda semua perang
@bagusirfan523,APAKAH THE SIMSON AKAN TERJADI LAGI,apakah the simson akan terjadi lagi
@sintamelinda-jn9oy,Mundurlah sudh bau tanah,mundurlah sudh bau tanah
@insansangersanger243,Kenapa ngak dr pertama ..jalan aja kayak anak baru belajar jatoh2..donald aja bagus,kenapa ngak dr pertama jalan aja kayak anak baru belajar jatoh2 donald aja bagus
@user-yu4rk9qe9v,Sejarah mencatat kakek ini adalah seorang pembunuh anak&quot; di Gaza.,sejarah mencatat kakek ini adalah seorang pembunuh anak di gaza
@aajat9133,US krisis pemimpin,us krisis pemimpin
@JasJFatku,Wah klo Trump menang makin babar anak didik US di palestina ğŸ˜…,wah klo trump menang makin babar anak didik us di palestina
@cristianomadeira_7136,Opo opo kok dibandengke. Kopokkkkk,opo opo kok dibandengke kopokkkkk
@cristianomadeira_7136,Orasah mbandengne karo endonesa juu,orasah mbandengne karo endonesa juu
@Bram331,Udah pikun....zelenski di bilang putin.. Nanti paman kim dibilang donald,udah pikun zelenski di bilang putin nanti paman kim dibilang donald
@coolinspirefunnybook1289,"amerika biar bisa salah langkah bisa bangkit lagi karena sistemnya bagus.self correct.<br>kalo indonesia da sistem bobrok2x bobrok terus.presiden satu bisa ganti presiden lain,tapi budaya korup jalan terus krn sistem birokrasi da bobrok akut.<br>kapan indonesia bisa self correct dari budaya korupsi ?",amerika biar bisa salah langkah bisa bangkit lagi karena sistemnya bagus self correct kalo indonesia da sistem bobrok2x bobrok terus presiden satu bisa ganti presiden laintapi budaya korup jalan terus krn sistem birokrasi da bobrok akut kapan indonesia bisa self correct dari budaya korupsi
@fuadibontot6012,Obama masih bisa nyalon engga si?,obama masih bisa nyalon engga si
@Rangga-sx5bx,Menang trump,menang trump
@gymtube6276,Dan ahirnya Zelenski mendadak menggelar KTT perdamain di Kyiv dan sekarang russia di undang ğŸ¤£,dan ahirnya zelenski mendadak menggelar ktt perdamain di kyiv dan sekarang russia di undang
@Maniesjengger,Embuktikan presiden di amerika tidak punya power.. Beda sama konoha wkwkw,embuktikan presiden di amerika tidak punya power beda sama konoha wkwkw
@alura3787,"Yes akhirnya dai nyerah juga ya saatnya jagoan ku yg menang yaitu Donald Trump , semangat buat partai Republik saatnya kemenangan berpihak padamu ,mari saatnya kita kalahkan partai Demokrat",yes akhirnya dai nyerah juga ya saatnya jagoan ku yg menang yaitu donald trump semangat buat partai republik saatnya kemenangan berpihak padamu mari saatnya kita kalahkan partai demokrat
@Musafir_homeless,"Dah tua, suka tidur ketika rapat, sering jatuh dari tangga dan parahnya suka asal ngomong karena mulai pikun.ğŸ˜®.",dah tua suka tidur ketika rapat sering jatuh dari tangga dan parahnya suka asal ngomong karena mulai pikun
@Imman-u7d,Sdh diramalkan Donald Trump akan jadi Presiden USA ğŸ™,sdh diramalkan donald trump akan jadi presiden usa
@HealingFamily-op1dj,Bekeng kacau dunia..,bekeng kacau dunia
@indrasetyawan5682,"semoga trump bisa jadi, 5th biden benar-benar sudah mengacaukan dunia sampai Indonesia yang cuma anak manis duduk di pojokan kena banyak getahnya",semoga trump bisa jadi 5th biden benarbenar sudah mengacaukan dunia sampai indonesia yang cuma anak manis duduk di pojokan kena banyak getahnya
@faozanzan4576,Joe Biden mundur luar biasa ngasih kesempatan sama yg muda2,joe biden mundur luar biasa ngasih kesempatan sama yg muda2
@sandrosihombing9332,"Moga aja Trum,,,,kalah dlm pilpres AS jika Trum menang geo politik dunia akan semakin panas,<br>Karna tram anti muslim.",moga aja trumkalah dlm pilpres as jika trum menang geo politik dunia akan semakin panaskarna tram anti muslim
@abdurrahmanjoenoes7384,BaguslahğŸ˜…,baguslah
@YulianusEden-ip1eb,"Klu diindonesia diturunkn sampe ke anak cucu ,,,utk jadi pejabat,,,ğŸ˜…",klu diindonesia diturunkn sampe ke anak cucu utk jadi pejabat
@arismustofa4029,"setelah gagal &quot;head shot&quot; Trump, dia sadar gak bakaL menang lawan Trump",setelah gagal head shot trump dia sadar gak bakal menang lawan trump
@Faqih3092,Kakek pelindung zionis,kakek pelindung zionis
@natashaabreyaa,ok,ok
@sopian5758,Amin amin amin ya tuhan Allah amin amin kau harus bertanggung  jawab di hadapan tuhan Allah amin amin amin,amin amin amin ya tuhan allah amin amin kau harus bertanggung jawab di hadapan tuhan allah amin amin amin
@Billy-t1k,Alhamdulillah....ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚.... kekuasaan mu sudah berakhir....,alhamdulillah kekuasaan mu sudah berakhir
@ehasoleha2701,Smoga beden di hati tuanya menyadari atas perbuatannya yg salah terhadap Palestina dan di hari tuanya banyak banyak ibadah.,smoga beden di hati tuanya menyadari atas perbuatannya yg salah terhadap palestina dan di hari tuanya banyak banyak ibadah
@user-nb9ex9mh4e,Orang pikun sudah sadar bahwa dia sudah tua,orang pikun sudah sadar bahwa dia sudah tua
@Rizkikk,Jangankan mundur Mati juga lebih baik,jangankan mundur mati juga lebih baik
@ridwanharyanto3203,Pak joe biden mundur akan meningkat suara capres dari partai demokrat...,pak joe biden mundur akan meningkat suara capres dari partai demokrat
@mhasiswaabadi3448,Khawatirnya nnti klo harus berhadapan dg vladimir putin &amp; xi jinping tidurnya kumat,khawatirnya nnti klo harus berhadapan dg vladimir putin xi jinping tidurnya kumat
@user-tf3hh2nx8w,"insyaAllah, mundur nya Jojo akan langsung stroke atas kekejaman yg dilakukannya terhadap masyarakat Gaza Palestina. .",insyaallah mundur nya jojo akan langsung stroke atas kekejaman yg dilakukannya terhadap masyarakat gaza palestina
@R.padmosobroto,Di konoha seorang  bocah di hujat di suruh ngaca gak mundur tetep gass wkwkwk,di konoha seorang bocah di hujat di suruh ngaca gak mundur tetep gass wkwkwk
@ykwim9536,Mestinya msuk panti jompo nih orang.....,mestinya msuk panti jompo nih orang
@DAENG-t1k,"Keputusan biden sdh tepat, dia tak mau memanggung konsikwensi keadaan dunia kedepannya yg akan semakin kacau dengan perang",keputusan biden sdh tepat dia tak mau memanggung konsikwensi keadaan dunia kedepannya yg akan semakin kacau dengan perang
@frederikrichardFRANCIS28170,"BRAVO 2ğŸ <br>HALELUJAH <br>PUJI <br>ABBA YAHWEH <br>YANG <br>BERTAHTA <br>DI ATAS <br>KERUBIN <br>KUDUS7X<br>MENGURAPI<br>KAMALA HARRIS <br>FIRST LADY <br>PRESIDENT USğŸ‡ºğŸ‡¸,<br>WELCOME <br>HOME<br>SWEET<br>HOME<br>WHITE HOUSE <br>NAMA<br>TUHAN<br>DI MULIAKAN <br>AMEN.",bravo halelujah puji abba yahweh yang bertahta di atas kerubin kudus7xmengurapikamala harris first lady president uswelcome homesweethomewhite house namatuhandi muliakan amen
@muhammadthoat1326,Tua bangka mau mati juga,tua bangka mau mati juga
@rofikngalam8699,Pak tua..... 81 th <br>Mundurlah PK TUAAA...<br>BIKIN KACAU DUNIA,pak tua th mundurlah pk tuaaa bikin kacau dunia
@ahmadsolihin4514,Udh pikun biden istrht saja rumahğŸ˜‚,udh pikun biden istrht saja rumah
@BRICS272,Kehancuran amerika sudah didepan mata ... Amerika latin udah mengajukan bergabung dengan brics,kehancuran amerika sudah didepan mata amerika latin udah mengajukan bergabung dengan brics
@DhaniDhani-g6n,Brapo rusia,brapo rusia
@DineEinstein,"Asyik, bakal perang dunia. <br>Sudah nyiapin bibit singkongğŸ˜‚ ini",asyik bakal perang dunia sudah nyiapin bibit singkong ini
@luqar1f,"Kakek biden mundur, otomatis paman zelensky jantungan, makan tak kenyang tidur tak sleeping, kuatir uwak Sam cabut semua pasokan senjata buat hadapin pakde Putin al naser bin stalin ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚",kakek biden mundur otomatis paman zelensky jantungan makan tak kenyang tidur tak sleeping kuatir uwak sam cabut semua pasokan senjata buat hadapin pakde putin al naser bin stalin
@hijajNurul,Perang dunia â¤â¤,perang dunia
@nebogaracia1218,Hmmm makin aneh nih Amerika keknya,hmmm makin aneh nih amerika keknya
